Example Sentence;Translation Sentence (Ukrainian)
Could I have a smaller piece of cake, please?;Чи можна мені менший шматок торта, будь ласка?
She decorated each piece of cake with a fresh strawberry.;Вона прикрасила кожен шматок торта свіжою полуницею.
He offered her a piece of cake, but she was too full.;Він запропонував їй шматок торта, але вона була сита.
The best part of the birthday is getting the first piece of cake.;Найкраща частина дня народження – це отримати перший шматок торта.
I'm trying to avoid sugar, so I'll pass on that piece of cake.;Я намагаюся уникати цукру, тому відмовлюся від того шматка торта.
He told a funny story to break the ice at the conference.;Він розповів смішну історію, щоб розрядити атмосферу на конференції.
She brought cookies to break the ice at the new office.;Вона принесла печиво, щоб розрядити атмосферу в новому офісі.
The teacher used a game to break the ice on the first day of school.;Вчитель використав гру, щоб розрядити атмосферу в перший день школи.
He made a joke to break the ice during the awkward silence.;Він пожартував, щоб розрядити атмосферу під час незручної тиші.
The team-building exercise helped break the ice between departments.;Вправа на командоутворення допомогла розрядити атмосферу між відділами.
She shared a personal story to break the ice with her new neighbors.;Вона поділилася особистою історією, щоб розрядити атмосферу з новими сусідами.
The host used music to break the ice at the party.;Господар використав музику, щоб розрядити атмосферу на вечірці.
He asked about everyone's hobbies to break the ice at the meeting.;Він запитав про хобі всіх, щоб розрядити атмосферу на зустрічі.
She used a group photo to break the ice at the family reunion.;Вона використала групове фото, щоб розрядити атмосферу на сімейній зустрічі.
Offering someone a drink can be a simple way to break the ice.;Запропонувати комусь напій може бути простим способом розрядити атмосферу.
The facilitator started with a quick poll to break the ice.;Модератор розпочав із швидкого опитування, щоб розрядити атмосферу.
Complimenting someone's attire can help break the ice in a conversation.;Комплімент щодо чийогось вбрання може допомогти розрядити атмосферу в розмові.
It was hard to break the ice as everyone at the table was very quiet.;Було важко розрядити атмосферу, оскільки всі за столом були дуже тихими.
Asking a simple question about their weekend helped break the ice.;Просте запитання про їхні вихідні допомогло розрядити атмосферу.
Sometimes, just a friendly smile is enough to break the ice with a stranger.;Іноді просто дружньої посмішки достатньо, щоб розрядити атмосферу з незнайомцем.
He tried to break the ice by talking about the weather, but it didn't quite work.;Він спробував розрядити атмосферу, говорячи про погоду, але це не зовсім спрацювало.
The manager suggested a casual lunch to help the new team members break the ice.;Менеджер запропонував неформальний обід, щоб допомогти новим членам команди розрядити атмосферу.
Playing a short introductory game is a great way for new colleagues to break the ice.;Коротка ознайомча гра – чудовий спосіб для нових колег розрядити атмосферу.
A little bit of self-deprecating humor is often the best tool to break the ice.;Трохи самоіронії часто є найкращим інструментом, щоб розрядити атмосферу.
The ship had to break the ice to reach the northern port.;Кораблю довелося проламувати лід, щоб дістатися північного порту.
He used a heavy tool to break the ice on the frozen water trough for the animals.;Він використав важкий інструмент, щоб розбити лід на замерзлому водопої для тварин.
The sudden thaw began to break the ice on the lake.;Раптове потепління почало ламати лід на озері.
They had to carefully break the ice that had formed around the boat's hull.;Їм довелося обережно розбивати лід, що утворився навколо корпусу човна.
Children threw stones to break the ice on the puddles.;Діти кидали каміння, щоб розбити лід на калюжах.
Before setting the fishing lines, the fisherman had to break the ice covering the hole.;Перш ніж закинути вудки, рибалці довелося розбити лід, що вкривав ополонку.
The powerful icebreaker ship can break the ice several meters thick.;Потужний криголам може ламати лід завтовшки кілька метрів.
She used a hammer to break the ice in the bucket.;Вона використала молоток, щоб розбити лід у відрі.
The park ranger warned visitors not to try to break the ice on the pond as it was still too thin.;Парковий рейнджер попередив відвідувачів не намагатися ламати лід на ставку, оскільки він ще був занадто тонким.
The spring sun will eventually break the ice on the river.;Весняне сонце врешті-решт розтопить (дослівно: зламає) лід на річці.
You really hit the nail on the head with that analysis.;Ти дуже влучно влучив у ціль з цим аналізом.
She hit the nail on the head when she identified the problem.;Вона влучно влучила у ціль, коли визначила проблему.
The consultant hit the nail on the head with his recommendation.;Консультант влучно влучив у ціль зі своєю рекомендацією.
He hit the nail on the head by pointing out the design flaw.;Він влучно влучив у ціль, вказавши на недолік дизайну.
The critic hit the nail on the head in his review of the film.;Критик влучно влучив у ціль у своєму відгуку про фільм.
She hit the nail on the head when she described the market trend.;Вона влучно влучила у ціль, описуючи тренд ринку.
The doctor hit the nail on the head with the diagnosis.;Лікар влучно влучив у ціль з діагнозом.
He hit the nail on the head by suggesting a different approach.;Він влучно влучив у ціль, запропонувавши інший підхід.
The teacher hit the nail on the head when explaining the concept.;Вчитель влучно влучив у ціль, пояснюючи концепцію.
She hit the nail on the head with her assessment of the situation.;Вона влучно влучила у ціль зі своєю оцінкою ситуації.
Your comment about the budget really hit the nail on the head.;Твій коментар щодо бюджету справді влучив у саму точку.
The detective hit the nail on the head when he identified the main suspect.;Детектив влучив у саму точку, коли визначив головного підозрюваного.
That's exactly what I was thinking, you've hit the nail on the head!;Це саме те, що я думав, ти влучив у саму точку!
The speaker hit the nail on the head with his observations about the economy.;Доповідач влучив у саму точку своїми спостереженнями щодо економіки.
She hit the nail on the head by recognizing the underlying cause of the issue.;Вона влучила у саму точку, розпізнавши основну причину проблеми.
His analysis of the company's weaknesses really hit the nail on the head.;Його аналіз слабких сторін компанії справді влучив у саму точку.
When you said he was procrastinating, you hit the nail on the head.;Коли ти сказав, що він зволікає, ти влучив у саму точку.
The coach hit the nail on the head by pointing out the team's lack of communication.;Тренер влучив у саму точку, вказавши на відсутність комунікації в команді.
Her prediction about the election results hit the nail on the head.;Її прогноз щодо результатів виборів влучив у саму точку.
You hit the nail on the head, that's precisely the solution we need.;Ти влучив у саму точку, це саме те рішення, яке нам потрібне.
The carpenter hit the nail on the head with a single, precise blow.;Тесля влучив молотком по цвяху одним точним ударом.
She carefully hit the nail on the head to hang the picture frame.;Вона обережно влучила молотком по цвяху, щоб повісити рамку для фотографії.
He missed the first time, but then he hit the nail on the head.;Він схибив з першого разу, але потім влучив молотком по цвяху.
You need to hit the nail on the head squarely, or it will bend.;Потрібно влучити молотком по цвяху прямо, інакше він зігнеться.
The child was learning to hit the nail on the head without hitting his fingers.;Дитина вчилася влучати молотком по цвяху, не вдаряючи собі по пальцях.
With a powerful swing, he hit the nail on the head, driving it deep into the wood.;Сильним помахом він влучив молотком по цвяху, забивши його глибоко в дерево.
She had to hit the nail on the head multiple times to secure the loose board.;Їй довелося кілька разів влучити молотком по цвяху, щоб закріпити хистку дошку.
The instructions said to hit the nail on the head gently at first.;В інструкції було сказано спочатку легенько влучити молотком по цвяху.
He was trying to hit the nail on the head in a tight corner, which was difficult.;Він намагався влучити молотком по цвяху у вузькому кутку, що було складно.
Every time he hit the nail on the head, the sound echoed in the workshop.;Кожного разу, коли він влучав молотком по цвяху, звук відлунював у майстерні.
I feel under the weather, so I'll stay home today.;Я почуваюся зле, тому залишусь сьогодні вдома.
She's been feeling under the weather all week.;Вона почувається зле весь тиждень.
He called in sick because he was feeling under the weather.;Він взяв лікарняний, бо почувався зле.
The children are feeling under the weather after playing in the rain.;Діти почуваються зле після гри під дощем.
I've been feeling under the weather since yesterday.;Я почуваюся зле з вчорашнього дня.
She's feeling under the weather, so she won't join us for dinner.;Вона почувається зле, тому не приєднається до нас на вечерю.
He's been feeling under the weather since the flight.;Він почувається зле після польоту.
The team is feeling under the weather after the long trip.;Команда почувається зле після довгої подорожі.
I'm feeling under the weather, so I'll take a day off.;Я почуваюся зле, тому візьму день відпочинку.
She's feeling under the weather, so she'll work from home.;Вона почувається зле, тому працюватиме з дому.
He sounded a bit under the weather on the phone.;Він звучав трохи нездужаючим по телефону.
If you're feeling under the weather, you should see a doctor.;Якщо ти почуваєшся зле, тобі слід звернутися до лікаря.
Many students were absent today, probably feeling under the weather.;Багато учнів були відсутні сьогодні, ймовірно, почувалися зле.
She tried to work but was too under the weather to concentrate.;Вона намагалася працювати, але почувалася занадто зле, щоб зосередитися.
A hot cup of tea might help if you're feeling under the weather.;Гаряча чашка чаю може допомогти, якщо ти почуваєшся зле.
He skipped the gym because he felt under the weather.;Він пропустив спортзал, бо почувався зле.
The sudden change in temperature left many people feeling under the weather.;Раптова зміна температури призвела до того, що багато людей почувалися зле.
I think I'm coming down with something, I've been under the weather all day.;Здається, я захворюю, я почуваюся зле весь день.
She took some medicine as she was feeling decidedly under the weather.;Вона прийняла ліки, оскільки виразно почувалася зле.
Despite feeling under the weather, he managed to finish his presentation.;Незважаючи на те, що він почувався зле, йому вдалося завершити свою презентацію.
He accidentally spilled the beans about the secret project.;Він випадково проговорився про секретний проект.
She spilled the beans about the surprise party.;Вона проговорилася про вечірку-сюрприз.
The employee spilled the beans about the company merger.;Співробітник проговорився про злиття компаній.
He spilled the beans about the new product launch.;Він проговорився про запуск нового продукту.
The journalist spilled the beans about the celebrity's wedding.;Журналіст проговорився про весілля знаменитості.
She spilled the beans about the promotion before it was announced.;Вона проговорилася про підвищення до його оголошення.
The insider spilled the beans about the upcoming changes.;Інсайдер проговорився про майбутні зміни.
He spilled the beans about the movie's ending.;Він проговорився про кінець фільму.
The politician spilled the beans about the new policy.;Політик проговорився про нову політику.
She spilled the beans about the family secret.;Вона проговорилася про сімейну таємницю.
My little brother spilled the beans about my hiding spot.;Мій молодший брат проговорився про мою схованку.
Don't spill the beans to anyone, it's a top-secret plan!;Нікому не проговорюйся, це надсекретний план!
The child accidentally spilled the beans about the surprise gift.;Дитина випадково проговорилася про подарунок-сюрприз.
He was afraid he would spill the beans under pressure.;Він боявся, що проговориться під тиском.
She tried her best not to spill the beans, but her excitement was too obvious.;Вона щосили намагалася не проговоритися, але її хвилювання було надто очевидним.
The witness spilled the beans about the entire operation to the police.;Свідок розповів поліції про всю операцію.
I can't believe you spilled the beans about our vacation plans!;Не можу повірити, що ти проговорився про наші плани на відпустку!
He promised not to spill the beans, and he kept his word.;Він пообіцяв не проговорюватися і дотримав свого слова.
The journalist was trying to get someone to spill the beans about the scandal.;Журналіст намагався змусити когось проговоритися про скандал.
It was only a matter of time before someone spilled the beans.;Це було лише питанням часу, перш ніж хтось проговориться.
He accidentally knocked over the can and spilled the beans all over the floor.;Він випадково перекинув банку і розсипав квасолю по всій підлозі.
The child was clumsy and managed to spill the beans from his plate.;Дитина була незграбною і примудрилася розсипати квасолю зі своєї тарілки.
She tripped while carrying the pot, causing her to spill the beans.;Вона спіткнулася, несучи каструлю, через що розлила квасолю.
The bag had a hole, and he didn't realize he was starting to spill the beans as he walked.;У мішку була дірка, і він не помітив, як почав розсипати квасолю, йдучи.
"Be careful not to spill the beans when you pour them into the bowl," she warned.;«Обережно, не розсип квасолю, коли будеш насипати її в миску», – попередила вона.
The cat jumped on the counter and managed to spill the beans from an open container.;Кіт стрибнув на стільницю і примудрився розсипати квасолю з відкритого контейнера.
He tried to scoop them up quickly after he spill the beans, but some rolled under the stove.;Він намагався швидко зібрати їх після того, як розсипав квасолю, але деякі закотилися під плиту.
The chef was annoyed when the new assistant managed to spill the beans just before serving.;Шеф-кухар роздратувався, коли новий помічник примудрився розсипати квасолю прямо перед подачею.
During the earthquake, many items fell from the shelves, and a large jar spill the beans everywhere.;Під час землетрусу багато предметів впало з полиць, і велика банка розсипала квасолю всюди.
If you spill the beans on this clean tablecloth, it will be hard to remove the stain.;Якщо ти розсиплеш квасолю на цю чисту скатертину, пляму буде важко вивести.
We go hiking once in a blue moon.;Ми ходимо в похід раз на сто років.
They visit their grandparents once in a blue moon.;Вони відвідують своїх дідуся і бабусю раз на сто років.
He cooks dinner once in a blue moon.;Він готує вечерю раз на сто років.
She goes to the cinema once in a blue moon.;Вона ходить в кіно раз на сто років.
They clean the garage once in a blue moon.;Вони прибирають гараж раз на сто років.
He calls his old friends once in a blue moon.;Він дзвонить своїм старим друзям раз на сто років.
She buys new clothes once in a blue moon.;Вона купує новий одяг раз на сто років.
They go on vacation once in a blue moon.;Вони їдуть у відпустку раз на сто років.
He reads a book once in a blue moon.;Він читає книгу раз на сто років.
She bakes cookies once in a blue moon.;Вона пече печиво раз на сто років.
I only see my cousins from abroad once in a blue moon.;Я бачу своїх двоюрідних братів і сестер з-за кордону раз на сто років.
He eats fast food once in a blue moon, preferring healthy meals.;Він їсть фаст-фуд раз на сто років, віддаючи перевагу здоровій їжі.
We get to see a meteor shower like this only once in a blue moon.;Ми можемо побачити такий метеорний дощ лише раз на сто років.
She indulges in expensive chocolate once in a blue moon as a special treat.;Вона дозволяє собі дорогий шоколад раз на сто років як особливе задоволення.
They go out for a fancy dinner once in a blue moon to celebrate anniversaries.;Вони ходять на вишукану вечерю раз на сто років, щоб відсвяткувати річниці.
He wears a suit once in a blue moon, usually for formal events.;Він одягає костюм раз на сто років, зазвичай на офіційні заходи.
Such a talented artist appears only once in a blue moon.;Такий талановитий митець з'являється лише раз на сто років.
I allow myself to sleep in late once in a blue moon on a weekend.;Я дозволяю собі поспати допізна раз на сто років на вихідних.
The quiet village sees a large crowd only once in a blue moon during the annual festival.;Тихе село бачить великий натовп лише раз на сто років під час щорічного фестивалю.
She takes a day off from her busy schedule once in a blue moon to relax.;Вона бере вихідний зі свого напруженого графіка раз на сто років, щоб відпочити.
The astronomical calendar indicated that a blue moon would occur next August.;Астрономічний календар показував, що блакитний місяць буде наступного серпня.
Photographers gathered to capture the rare sight of the blue moon.;Фотографи зібралися, щоб зафіксувати рідкісне видовище блакитного місяця.
He explained to his child that a blue moon doesn't actually look blue, it's just the term for a second full moon in a month.;Він пояснив своїй дитині, що блакитний місяць насправді не виглядає блакитним, це просто термін для другого повного місяця в місяці.
The article discussed the scientific reasons behind the phenomenon known as a blue moon.;У статті обговорювалися наукові причини явища, відомого як блакитний місяць.
"Did you see the blue moon last night?" she asked her friend, referring to the second full moon of July.;«Ти бачив учора ввечері блакитний місяць?» – запитала вона свого друга, маючи на увазі другий повний місяць липня.
Some ancient cultures attached special significance to the appearance of a blue moon.;Деякі давні культури надавали особливого значення появі блакитного місяця.
The next blue moon isn't expected for another couple of years.;Наступний блакитний місяць очікується лише через кілька років.
Due to volcanic ash in the atmosphere, the moon actually appeared blue, a literal blue moon.;Через вулканічний попіл в атмосфері місяць справді виглядав блакитним, буквальний блакитний місяць.
The observatory scheduled a special viewing event for the upcoming blue moon.;Обсерваторія запланувала спеціальний захід для спостереження за майбутнім блакитним місяцем.
Learning about the blue moon in science class was fascinating.;Дізнаватися про блакитний місяць на уроці природознавства було захоплююче.
She had to bite the bullet and apologize.;Їй довелося зібратись із силами і вибачитися.
He had to bite the bullet and tell the truth.;Йому довелося зібратись із силами і сказати правду.
They had to bite the bullet and accept the changes.;Їм довелося зібратись із силами і прийняти зміни.
She had to bite the bullet and make the difficult decision.;Їй довелося зібратись із силами і прийняти важке рішення.
He had to bite the bullet and pay the fine.;Йому довелося зібратись із силами і заплатити штраф.
They had to bite the bullet and cancel the event.;Їм довелося зібратись із силами і скасувати подію.
She had to bite the bullet and confront her fears.;Їй довелося зібратись із силами і зіткнутися зі своїми страхами.
He had to bite the bullet and admit his mistake.;Йому довелося зібратись із силами і визнати свою помилку.
They had to bite the bullet and start over.;Їм довелося зібратись із силами і почати спочатку.
She had to bite the bullet and ask for help.;Їй довелося зібратись із силами і попросити про допомогу.
The company had to bite the bullet and lay off some employees.;Компанії довелося зібратись із силами і звільнити деяких працівників.
I knew I had to bite the bullet and finish the marathon, despite the pain.;Я знав, що мушу стиснути зуби і закінчити марафон, незважаючи на біль.
We'll have to bite the bullet and work overtime to meet the deadline.;Нам доведеться зібратись із силами і працювати понаднормово, щоб вкластися в термін.
She decided to bite the bullet and invest her savings into the new business.;Вона вирішила ризикнути і вкласти свої заощадження в новий бізнес.
The team had to bite the bullet and play in the pouring rain.;Команді довелося стиснути зуби і грати під проливним дощем.
He had to bite the bullet and sell his car to pay off his debts.;Йому довелося зібратись із силами і продати машину, щоб розплатитися з боргами.
Sometimes you just have to bite the bullet and do what's necessary.;Іноді просто потрібно стиснути зуби і зробити те, що необхідно.
They had to bite the bullet and move to a smaller apartment after losing their jobs.;Їм довелося зібратись із силами і переїхати в меншу квартиру після втрати роботи.
The politician had to bite the bullet and address the controversial issue.;Політику довелося зібратись із силами і виступити щодо суперечливого питання.
She had to bite the bullet and go to the dentist, even though she was terrified.;Їй довелося стиснути зуби і піти до стоматолога, хоча вона страшенно боялася.
Don't let the cat out of the bag about the surprise gift.;Не проговорюйся про подарунок-сюрприз.
She accidentally let the cat out of the bag about the wedding.;Вона випадково проговорилася про весілля.
He let the cat out of the bag about the new job.;Він проговорився про нову роботу.
They let the cat out of the bag about the company's plans.;Вони проговорилися про плани компанії.
She let the cat out of the bag about the movie's plot.;Вона проговорилася про сюжет фільму.
He let the cat out of the bag about the secret ingredient.;Він проговорився про секретний інгредієнт.
They let the cat out of the bag about the surprise party.;Вони проговорилися про вечірку-сюрприз.
She let the cat out of the bag about the promotion.;Вона проговорилася про підвищення.
He let the cat out of the bag about the new product.;Він проговорився про новий продукт.
They let the cat out of the bag about the family secret.;Вони проговорилися про сімейну таємницю.
I almost let the cat out of the bag about her birthday trip.;Я мало не проговорився про її поїздку на день народження.
The child innocently let the cat out of the bag about where the presents were hidden.;Дитина невинно проговорилася, де заховані подарунки.
He was trying to keep the engagement a secret, but his sister let the cat out of the bag.;Він намагався зберегти заручини в таємниці, але його сестра проговорилася.
We were planning a surprise visit, but John let the cat out of the bag.;Ми планували несподіваний візит, але Джон проговорився.
The press conference was supposed to be about the new policy, but a reporter's question let the cat out of the bag about the scandal.;Пресконференція мала бути про нову політику, але запитання репортера розкрило скандал.
She tried to hint subtly, but ended up letting the cat out of the bag entirely.;Вона намагалася натякнути обережно, але в підсумку повністю видала секрет.
It's a secret, so please don't let the cat out of the bag.;Це секрет, тому, будь ласка, не проговорюйся.
The excitement in his voice almost let the cat out of the bag before the announcement.;Хвилювання в його голосі мало не видало все до оголошення.
They had a pact not to tell anyone, but someone let the cat out of the bag.;У них була домовленість нікому не розповідати, але хтось проговорився.
Once the cat is out of the bag, there's no way to put it back in.;Як тільки секрет розкрито, його вже не приховаєш.
When he opened the sack, he accidentally let the cat out of the bag, and it scampered away.;Коли він відкрив мішок, він випадково випустив кота з мішка, і той втік.
The veterinarian gently let the cat out of the bag onto the examination table.;Ветеринар обережно випустив кота з мішка на оглядовий стіл.
She had to let the cat out of the bag in the new apartment, as it had been cooped up during the move.;Їй довелося випустити кота з мішка в новій квартирі, оскільки він був замкнений під час переїзду.
"Be careful when you let the cat out of the bag, it might be scared," he warned.;«Будь обережний, коли випускатимеш кота з мішка, він може бути наляканий», – попередив він.
The children giggled as they tried to let the cat out of the bag, but it kept hiding.;Діти хихотіли, намагаючись випустити кота з мішка, але він продовжував ховатися.
He finally managed to let the cat out of the bag after a struggle, as it was quite feisty.;Нарешті йому вдалося випустити кота з мішка після боротьби, оскільки той був досить жвавим.
The animal shelter volunteer carefully let the cat out of the bag into its new enclosure.;Волонтер притулку для тварин обережно випустив кота з мішка в його новий вольєр.
Once they reached home, she couldn't wait to let the cat out of the bag it had traveled in.;Як тільки вони дісталися додому, їй не терпілося випустити кота з мішка, в якому він подорожував.
The farmer showed them the kittens, then carefully let the cat out of the bag – their mother.;Фермер показав їм кошенят, а потім обережно випустив кота з мішка – їхню матір.
He had to let the cat out of the bag near the barn, hoping it would catch mice.;Йому довелося випустити кота з мішка біля сараю, сподіваючись, що він ловитиме мишей.
I was burning the midnight oil to meet the deadline.;Я засиджувався допізна, щоб встигнути до дедлайну.
She was burning the midnight oil to finish her thesis.;Вона засиджувалася допізна, щоб закінчити свою дисертацію.
He was burning the midnight oil to prepare for the exam.;Він засиджувався допізна, щоб підготуватися до іспиту.
They were burning the midnight oil to complete the project.;Вони засиджувалися допізна, щоб завершити проект.
She was burning the midnight oil to finish the report.;Вона засиджувалася допізна, щоб закінчити звіт.
He was burning the midnight oil to meet the client's demands.;Він засиджувався допізна, щоб відповідати вимогам клієнта.
They were burning the midnight oil to fix the bug.;Вони засиджувалися допізна, щоб виправити помилку.
She was burning the midnight oil to prepare the presentation.;Вона засиджувалася допізна, щоб підготувати презентацію.
He was burning the midnight oil to finish the book.;Він засиджувався допізна, щоб закінчити книгу.
They were burning the midnight oil to meet the launch date.;Вони засиджувалися допізна, щоб встигнути до дати запуску.
The students were burning the midnight oil studying for their finals.;Студенти засиджувалися допізна, готуючись до випускних іспитів.
As an entrepreneur, she often found herself burning the midnight oil to get her business off the ground.;Як підприємець, вона часто засиджувалася допізна, щоб запустити свій бізнес.
The legal team was burning the midnight oil to prepare for the trial.;Юридична команда засиджувалася допізна, готуючись до судового процесу.
He had a habit of burning the midnight oil, working on his novel after everyone else had gone to bed.;Він мав звичку засиджуватися допізна, працюючи над своїм романом після того, як усі лягали спати.
To launch the new software on time, the developers were burning the midnight oil for weeks.;Щоб вчасно запустити нове програмне забезпечення, розробники тижнями засиджувалися допізна.
She was burning the midnight oil, trying to learn a new language before her trip.;Вона засиджувалася допізна, намагаючись вивчити нову мову перед поїздкою.
The artist was burning the midnight oil to complete the commissioned painting.;Художник засиджувався допізна, щоб завершити замовлену картину.
With the deadline approaching, the entire office was burning the midnight oil.;З наближенням дедлайну весь офіс засиджувався допізна.
He was burning the midnight oil, researching his family history.;Він засиджувався допізна, досліджуючи історію своєї родини.
The campaign staff were burning the midnight oil in the final days before the election.;Співробітники виборчого штабу засиджувалися допізна в останні дні перед виборами.
In the olden days, scholars were literally burning the midnight oil to study ancient texts.;У давнину вчені буквально палили олію опівночі, щоб вивчати стародавні тексти.
The lighthouse keeper was burning the midnight oil to ensure the lamp stayed lit for sailors.;Доглядач маяка палив олію опівночі, щоб лампа світила для моряків.
With no electricity, the remote cabin's inhabitants were burning the midnight oil for light.;Без електрики мешканці віддаленої хатини палили олію опівночі для освітлення.
He was burning the midnight oil, carefully tending to the flame of his oil lamp as he wrote.;Він палив олію опівночі, дбайливо доглядаючи за полум'ям своєї олійної лампи, поки писав.
The smell of burning the midnight oil filled the small room where the watchman sat.;Запах горілої опівнічної олії наповнював маленьку кімнату, де сидів сторож.
She remembered her grandmother burning the midnight oil, reading by the faint glow.;Вона пам'ятала, як її бабуся палила олію опівночі, читаючи при тьмяному світлі.
Before the invention of candles, many relied on burning the midnight oil for evening illumination.;До винаходу свічок багато хто покладався на спалювання опівнічної олії для вечірнього освітлення.
The alchemist was burning the midnight oil, surrounded by flickering lamps and strange concoctions.;Алхімік палив олію опівночі, оточений мерехтливими лампами та дивними зіллями.
They were burning the midnight oil, rationing their fuel carefully to make it last through the night.;Вони палили олію опівночі, ретельно розподіляючи паливо, щоб його вистачило на всю ніч.
The only light came from the single lamp burning the midnight oil on the desk.;Єдине світло йшло від однієї лампи, що горіла опівнічною олією на столі.
His remarks only added fuel to the fire.;Його зауваження лише підкинули дров в вогонь.
Her comments added fuel to the fire during the argument.;Її коментарі підкинули дров в вогонь під час сварки.
The article added fuel to the fire of the controversy.;Стаття підкинула дров в вогонь суперечки.
His actions added fuel to the fire of the conflict.;Його дії підкинули дров в вогонь конфлікту.
The rumor added fuel to the fire of the scandal.;Чутка підкинула дров в вогонь скандалу.
Her words added fuel to the fire of the debate.;Її слова підкинули дров в вогонь дебатів.
The decision added fuel to the fire of the protest.;Рішення підкинуло дров в вогонь протесту.
His behavior added fuel to the fire of the situation.;Його поведінка підкинула дров в вогонь ситуації.
The news added fuel to the fire of the crisis.;Новини підкинули дров в вогонь кризи.
Their response added fuel to the fire of the dispute.;Їхня відповідь підкинула дров в вогонь суперечки.
Ignoring the problem will only add fuel to the fire.;Ігнорування проблеми лише підкине дров у вогонь.
The politician's inflammatory speech added fuel to the fire of social unrest.;Запальна промова політика підкинула дров у вогонь суспільних заворушень.
Spreading misinformation online can add fuel to the fire of panic.;Поширення дезінформації в Інтернеті може підкинути дров у вогонь паніки.
His sarcastic apology only added fuel to the fire of her anger.;Його саркастичне вибачення лише підкинуло дров у вогонь її гніву.
The company's silence on the matter added fuel to the fire of speculation.;Мовчання компанії з цього приводу підкинуло дров у вогонь спекуляцій.
Trying to cover up the mistake will inevitably add fuel to the fire.;Спроба приховати помилку неминуче підкине дров у вогонь.
The lack of a clear explanation added fuel to the fire of public distrust.;Відсутність чіткого пояснення підкинула дров у вогонь громадської недовіри.
Accusing them without evidence will only add fuel to the fire.;Звинувачення їх без доказів лише підкине дров у вогонь.
The media's sensationalist reporting added fuel to the fire of the already tense situation.;Сенсаційні репортажі ЗМІ підкинули дров у вогонь і без того напруженої ситуації.
Refusing to negotiate will simply add fuel to the fire and prolong the strike.;Відмова від переговорів просто підкине дров у вогонь і продовжить страйк.
The campers decided to add fuel to the fire to keep warm as the night grew colder.;Туристи вирішили підкинути дров у вогонь, щоб зігрітися, коли ніч ставала холоднішою.
He carefully add fuel to the fire, making sure the flames didn't get too high.;Він обережно підкинув дров у вогонь, стежачи, щоб полум'я не стало занадто високим.
To make the bonfire last longer, they continued to add fuel to the fire throughout the evening.;Щоб багаття горіло довше, вони продовжували підкидати дров у вогонь протягом усього вечора.
The blacksmith would periodically add fuel to the fire to maintain the high temperature needed for forging metal.;Коваль періодично підкидав палива у вогонь, щоб підтримувати високу температуру, необхідну для кування металу.
She watched her father add fuel to the fire in the old stove to heat the cabin.;Вона спостерігала, як її батько підкидав дров у вогонь у старій печі, щоб обігріти хатину.
"Don't add fuel to the fire too quickly, or it will smoke a lot," he advised.;«Не підкидай дров у вогонь занадто швидко, інакше буде багато диму», – порадив він.
They gathered more dry leaves and twigs to add fuel to the fire they had started.;Вони зібрали більше сухого листя та гілок, щоб підкинути дров у вогонь, який вони розпалили.
The instructions for the wood-burning oven said to add fuel to the fire gradually for optimal heat.;В інструкції до дров'яної печі було сказано поступово підкидати дров у вогонь для оптимального нагріву.
During the barbecue, he had to add fuel to the fire several times to keep the coals hot.;Під час барбекю йому довелося кілька разів підкидати палива у вогонь, щоб вугілля залишалося гарячим.
